,neighborhood,latitude,longitude,name,categories
2833,Botafogo,-22952624,-43183048,The Slow Bakery,Various Restaurants
2834,Botafogo,-22952353,-43171938,Pizzaria ICRJ,Various Restaurants
2835,Botafogo,-22950979,-43184326,Boteco Colarinho,Various Restaurants
2836,Botafogo,-22956552,-43181573,Liga dos Botecos,Various Restaurants
2837,Botafogo,-22956672,-43176557,Dois em Cena,Various Restaurants
2838,Botafogo,-22950937,-43183447,Marchezinho,Various Restaurants
2839,Botafogo,-22951232,-43181697,Coordenadas Bar,Various Restaurants
2840,Botafogo,-22956805,-43182897,Bar Bukowski,Various Restaurants
2841,Botafogo,-22948319,-43185705,Bar e Sinuca da Bambina,Various Restaurants
2842,Botafogo,-22951284,-43183518,"Birreria Escondido, CA",Various Restaurants
2843,Botafogo,-22949519,-43177955,Bob's,Various Restaurants
2844,Botafogo,-22949048,-43184343,Vezpa Pizzas,Various Restaurants
2845,Botafogo,-22954813,-43186739,Entre Amigos Gastronomia,Various Restaurants
2846,Botafogo,-22955124,-43183045,Ceviche RJ,Various Restaurants
2847,Botafogo,-22949832,-43184675,Cafofo Pub,Various Restaurants
2848,Botafogo,-22945693,-43185705,La Bambina,Various Restaurants
2849,Botafogo,-22954181,-43186723,Boteco Cabidinho,Various Restaurants
2850,Botafogo,-22956522,-4318151,Canastra Rose,Various Restaurants
2851,Botafogo,-22949304,-43185541,Boteco 98,Various Restaurants
2852,Botafogo,-22949269,-43179141,Espa̤o Rampa,Various Restaurants
2853,Botafogo,-22956955,-43176627,Restaurante Madero Steak House,Various Restaurants
2854,Botafogo,-22950532,-43184664,LeMax Hamburgueria,Various Restaurants
2855,Botafogo,-22950311,-43180546,Ref̼gio,Various Restaurants
2856,Botafogo,-22943641,-43185468,Bar e Restaurante do Manolo,Various Restaurants
2857,Botafogo,-2295066,-43181809,Bar e Restaurante do Pontes,Various Restaurants
2858,Flamengo,-22940551,-43178431,Broz,Various Restaurants
